,CLASS,PACKAGE,KILLED,,MEMORY_ERROR,SURVIVED,TIMED_OUT,Total_Mutant,Mutation_Score
292,HaltonSequenceGenerator,org.apache.commons.math3.random,24,0,0,1,2,27,96.2962963
293,HarmonicCurveFitter,org.apache.commons.math3.fitting,70,0,1,28,0,99,70.70707071
294,HarmonicFitter,org.apache.commons.math3.fitting,67,0,0,28,0,95,70.52631579
295,HarmonicFitter,org.apache.commons.math3.optimization.fitting,67,0,0,28,0,95,70.52631579
296,HarmonicOscillator,org.apache.commons.math3.analysis.function,34,0,1,0,0,35,97.14285714
297,HermiteInterpolator,org.apache.commons.math3.analysis.interpolation,53,0,0,3,0,56,94.64285714
298,HermiteRuleFactory,org.apache.commons.math3.analysis.integration.gauss,70,0,0,0,1,71,100
299,HessenbergTransformer,org.apache.commons.math3.linear,104,0,1,4,0,109,95.41284404
300,HighamHall54FieldIntegrator,org.apache.commons.math3.ode.nonstiff,13,0,0,0,2,15,100
301,HighamHall54FieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,4,0,0,1,0,5,80
302,HighamHall54Integrator,org.apache.commons.math3.ode.nonstiff,10,0,0,1,9,20,95
303,HighamHall54StepInterpolator,org.apache.commons.math3.ode.nonstiff,144,0,0,1,0,145,99.31034483
304,HitHistogram,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,11,0,0,11,0
305,HypergeometricDistribution,org.apache.commons.math3.distribution,62,0,1,1,2,66,96.96969697
306,ISAACRandom,org.apache.commons.math3.random,143,0,4,5,3,155,94.19354839
307,Identity,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
308,Incrementor,org.apache.commons.math3.util,15,0,4,3,0,22,68.18181818
309,InitialGuess,org.apache.commons.math3.optim,1,0,0,0,0,1,100
310,InitialGuess,org.apache.commons.math3.optimization,1,0,0,0,0,1,100
311,InsideFinder,org.apache.commons.math3.geometry.partitioning,0,0,29,0,0,29,0
312,IntegerSequence,org.apache.commons.math3.util,31,0,1,3,6,41,90.24390244
313,InterpolatingMicrosphere,org.apache.commons.math3.analysis.interpolation,45,0,2,13,0,60,75
314,InterpolatingMicrosphere2D,org.apache.commons.math3.analysis.interpolation,6,0,1,0,0,7,85.71428571
315,Interval,org.apache.commons.math3.geometry.euclidean.oned,20,0,4,4,0,28,71.42857143
316,IntervalUtils,org.apache.commons.math3.stat.interval,10,0,0,4,0,14,71.42857143
317,IntervalsSet,org.apache.commons.math3.geometry.euclidean.oned,84,0,11,17,13,125,77.6
318,Inverse,org.apache.commons.math3.analysis.function,3,0,1,0,0,4,75
319,IterationEvent,org.apache.commons.math3.util,1,0,0,0,0,1,100
320,IterationManager,org.apache.commons.math3.util,4,0,2,1,1,8,62.5
321,IterativeLegendreGaussIntegrator,org.apache.commons.math3.analysis.integration,26,0,0,2,0,28,92.85714286
322,IterativeLinearSolver,org.apache.commons.math3.linear,4,0,6,3,0,13,30.76923077
323,IterativeLinearSolverEvent,org.apache.commons.math3.linear,0,0,1,0,0,1,0
324,JDKRandomGenerator,org.apache.commons.math3.random,2,0,1,0,0,3,66.66666667
325,JacobiPreconditioner,org.apache.commons.math3.linear,15,0,2,1,0,18,83.33333333
326,JacobianFunction,org.apache.commons.math3.analysis.differentiation,8,0,0,0,0,8,100
327,JacobianMatrices,org.apache.commons.math3.ode,79,0,4,11,0,94,84.04255319
328,JacobianMultivariateVectorOptimizer,org.apache.commons.math3.optim.nonlinear.vector,4,0,0,0,0,4,100
329,KMeansPlusPlusClusterer,org.apache.commons.math3.ml.clustering,38,0,27,24,0,89,42.69662921
330,KMeansPlusPlusClusterer,org.apache.commons.math3.stat.clustering,47,0,5,33,3,88,56.81818182
331,KalmanFilter,org.apache.commons.math3.filter,20,0,3,11,0,34,58.82352941
332,KendallsCorrelation,org.apache.commons.math3.stat.correlation,82,0,0,3,1,86,96.51162791
333,KohonenTrainingTask,org.apache.commons.math3.ml.neuralnet.sofm,2,0,0,0,0,2,100
334,KohonenUpdateAction,org.apache.commons.math3.ml.neuralnet.sofm,6,0,1,2,4,13,76.92307692
335,KolmogorovSmirnovDistribution,org.apache.commons.math3.distribution,71,0,15,16,4,106,70.75471698
336,KolmogorovSmirnovTest,org.apache.commons.math3.stat.inference,369,0,77,63,10,519,73.02504817
337,KthSelector,org.apache.commons.math3.util,33,0,0,13,5,51,74.50980392
338,Kurtosis,org.apache.commons.math3.stat.descriptive.moment,57,0,1,6,0,64,89.0625
339,LUDecomposition,org.apache.commons.math3.linear,137,0,0,3,0,140,97.85714286
340,LaguerreSolver,org.apache.commons.math3.analysis.solvers,49,0,8,22,1,80,62.5
341,LaplaceDistribution,org.apache.commons.math3.distribution,28,0,6,13,0,47,59.57446809
342,LearningFactorFunctionFactory,org.apache.commons.math3.ml.neuralnet.sofm,12,0,0,0,0,12,100
343,LeastSquaresAdapter,org.apache.commons.math3.fitting.leastsquares,7,0,0,0,0,7,100
344,LeastSquaresBuilder,org.apache.commons.math3.fitting.leastsquares,13,0,1,0,0,14,92.85714286
345,LeastSquaresConverter,org.apache.commons.math3.optim.nonlinear.scalar,18,0,0,0,0,18,100
346,LeastSquaresConverter,org.apache.commons.math3.optimization,18,0,0,0,0,18,100
347,LeastSquaresFactory,org.apache.commons.math3.fitting.leastsquares,30,1,8,2,0,41,75.6097561
348,LegendreGaussIntegrator,org.apache.commons.math3.analysis.integration,28,0,0,3,0,31,90.32258065
349,LegendreHighPrecisionRuleFactory,org.apache.commons.math3.analysis.integration.gauss,1,0,0,37,0,38,2.631578947
350,LegendreRuleFactory,org.apache.commons.math3.analysis.integration.gauss,73,0,0,0,0,73,100
351,LevenbergMarquardtOptimizer,org.apache.commons.math3.fitting.leastsquares,350,0,7,44,0,401,87.28179551
352,LevenbergMarquardtOptimizer,org.apache.commons.math3.optim.nonlinear.vector.jacobian,342,0,3,46,1,392,87.5
353,LevenbergMarquardtOptimizer,org.apache.commons.math3.optimization.general,337,0,3,48,1,389,86.88946015
354,LevyDistribution,org.apache.commons.math3.distribution,34,0,5,5,0,44,77.27272727
355,LimitAngle,org.apache.commons.math3.geometry.spherical.oned,14,0,1,1,0,16,87.5
356,Line,org.apache.commons.math3.geometry.euclidean.threed,34,0,4,8,0,46,73.91304348
357,Line,org.apache.commons.math3.geometry.euclidean.twod,72,0,13,18,0,103,69.90291262
358,LineSearch,org.apache.commons.math3.optim.nonlinear.scalar,8,0,0,0,0,8,100
359,LinearConstraint,org.apache.commons.math3.optim.linear,14,0,7,3,0,24,58.33333333
360,LinearConstraint,org.apache.commons.math3.optimization.linear,12,0,10,2,0,24,50
361,LinearConstraintSet,org.apache.commons.math3.optim.linear,1,0,0,0,0,1,100
362,LinearInterpolator,org.apache.commons.math3.analysis.interpolation,16,0,0,1,0,17,94.11764706
363,LinearObjectiveFunction,org.apache.commons.math3.optim.linear,13,0,4,2,0,19,68.42105263
364,LinearObjectiveFunction,org.apache.commons.math3.optimization.linear,12,0,6,2,0,20,60
365,LinearOptimizer,org.apache.commons.math3.optim.linear,8,0,0,0,0,8,100
366,ListPopulation,org.apache.commons.math3.genetics,18,0,4,5,0,27,66.66666667
367,LocalizedFormats,org.apache.commons.math3.exception.util,3,0,0,1,0,4,75
368,LocationFinder,org.apache.commons.math3.ml.neuralnet.twod.util,10,0,0,0,0,10,100
369,LoessInterpolator,org.apache.commons.math3.analysis.interpolation,102,0,2,13,1,118,87.28813559
370,Log,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
371,Log10,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
372,Log1p,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
373,LogNormalDistribution,org.apache.commons.math3.distribution,64,0,0,10,1,75,86.66666667
374,Logistic,org.apache.commons.math3.analysis.function,36,0,1,5,0,42,85.71428571
375,LogisticDistribution,org.apache.commons.math3.distribution,31,0,7,6,0,44,70.45454545
376,Logit,org.apache.commons.math3.analysis.function,41,0,1,5,0,47,87.23404255
377,LutherFieldIntegrator,org.apache.commons.math3.ode.nonstiff,7,0,0,0,0,7,100
378,LutherFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,3,0,0,2,0,5,60
379,LutherStepInterpolator,org.apache.commons.math3.ode.nonstiff,254,0,0,10,0,264,96.21212121
380,ManhattanDistance,org.apache.commons.math3.ml.distance,1,0,0,0,0,1,100
381,MannWhitneyUTest,org.apache.commons.math3.stat.inference,30,0,0,3,0,33,90.90909091
382,MapUtils,org.apache.commons.math3.ml.neuralnet,9,0,36,1,0,46,19.56521739
383,MathArithmeticException,org.apache.commons.math3.exception,3,0,1,1,0,5,60
384,MathArrays,org.apache.commons.math3.util,518,0,37,65,1,621,83.57487923
385,MathIllegalArgumentException,org.apache.commons.math3.exception,3,0,1,0,0,4,75
386,MathIllegalNumberException,org.apache.commons.math3.exception,1,0,0,0,0,1,100
387,MathIllegalStateException,org.apache.commons.math3.exception,2,0,2,1,0,5,40
388,MathInternalError,org.apache.commons.math3.exception,0,0,1,0,0,1,0
389,MathParseException,org.apache.commons.math3.exception,0,0,1,1,0,2,0
390,MathRuntimeException,org.apache.commons.math3.exception,0,0,4,0,0,4,0
391,MathUnsupportedOperationException,org.apache.commons.math3.exception,0,0,3,1,0,4,0
392,MathUtils,org.apache.commons.math3.util,54,0,3,27,1,85,64.70588235
393,MatrixDimensionMismatchException,org.apache.commons.math3.linear,4,0,0,0,0,4,100
394,MatrixUtils,org.apache.commons.math3.linear,176,0,13,22,0,211,83.41232227
395,Max,org.apache.commons.math3.analysis.function,1,0,0,0,0,1,100
396,Max,org.apache.commons.math3.stat.descriptive.rank,15,0,1,5,0,21,71.42857143
397,MaxCountExceededException,org.apache.commons.math3.exception,2,0,0,0,0,2,100
398,MaxEval,org.apache.commons.math3.optim,2,0,1,1,0,4,50
399,MaxIter,org.apache.commons.math3.optim,2,0,1,1,0,4,50
400,Mean,org.apache.commons.math3.stat.descriptive.moment,27,0,2,9,0,38,71.05263158
401,Median,org.apache.commons.math3.stat.descriptive.rank,2,0,1,0,0,3,66.66666667
402,MedianOf3PivotingStrategy,org.apache.commons.math3.util,12,0,0,7,0,19,63.15789474
403,MersenneTwister,org.apache.commons.math3.random,104,0,2,7,2,115,92.17391304
404,MicrosphereInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,26,0,0,7,1,34,79.41176471
405,MicrosphereInterpolator,org.apache.commons.math3.analysis.interpolation,3,0,0,2,0,5,60
406,MicrosphereProjectionInterpolator,org.apache.commons.math3.analysis.interpolation,9,0,0,2,0,11,81.81818182
407,MidPointIntegrator,org.apache.commons.math3.analysis.integration,25,0,0,7,2,34,79.41176471
408,MidpointFieldIntegrator,org.apache.commons.math3.ode.nonstiff,4,0,0,0,0,4,100
409,MidpointFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,4,0,0,1,0,5,80
410,MidpointStepInterpolator,org.apache.commons.math3.ode.nonstiff,29,0,0,1,0,30,96.66666667
411,MillerUpdatingRegression,org.apache.commons.math3.stat.regression,461,0,61,120,0,642,71.80685358
412,Min,org.apache.commons.math3.analysis.function,1,0,0,0,0,1,100
413,Min,org.apache.commons.math3.stat.descriptive.rank,15,0,1,5,0,21,71.42857143
414,Minus,org.apache.commons.math3.analysis.function,3,0,1,0,0,4,75
415,MixtureMultivariateNormalDistribution,org.apache.commons.math3.distribution,3,0,0,0,0,3,100
416,MixtureMultivariateRealDistribution,org.apache.commons.math3.distribution,30,0,1,3,0,34,88.23529412
417,ModelFunction,org.apache.commons.math3.optim.nonlinear.vector,1,0,0,0,0,1,100
418,ModelFunctionJacobian,org.apache.commons.math3.optim.nonlinear.vector,1,0,0,0,0,1,100
419,MonotoneChain,org.apache.commons.math3.geometry.euclidean.twod.hull,38,0,0,9,0,47,80.85106383
420,MullerSolver,org.apache.commons.math3.analysis.solvers,47,0,3,28,0,78,60.25641026
421,MullerSolver2,org.apache.commons.math3.analysis.solvers,46,0,5,12,2,65,73.84615385
422,MultiDimensionMismatchException,org.apache.commons.math3.exception,2,0,2,0,0,4,50
423,MultiDirectionalSimplex,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,16,0,0,1,1,18,94.44444444
424,MultiDirectionalSimplex,org.apache.commons.math3.optimization.direct,16,0,0,1,1,18,94.44444444
425,MultiKMeansPlusPlusClusterer,org.apache.commons.math3.ml.clustering,3,0,3,1,1,8,50
426,MultiStartMultivariateOptimizer,org.apache.commons.math3.optim.nonlinear.scalar,7,0,3,1,0,11,63.63636364
427,MultiStartMultivariateVectorOptimizer,org.apache.commons.math3.optim.nonlinear.vector,2,0,3,6,0,11,18.18181818
428,MultiStartUnivariateOptimizer,org.apache.commons.math3.optim.univariate,27,0,1,4,0,32,84.375
429,MultidimensionalCounter,org.apache.commons.math3.util,54,0,6,2,3,65,87.69230769
430,Multiply,org.apache.commons.math3.analysis.function,2,0,0,0,0,2,100
431,MultistepFieldIntegrator,org.apache.commons.math3.ode,26,0,5,10,2,43,65.11627907
432,MultistepIntegrator,org.apache.commons.math3.ode,26,0,12,12,3,53,54.71698113
433,MultivariateFunctionMappingAdapter,org.apache.commons.math3.optim.nonlinear.scalar,23,0,0,10,0,33,69.6969697
434,MultivariateFunctionMappingAdapter,org.apache.commons.math3.optimization.direct,23,0,0,10,0,33,69.6969697
435,MultivariateFunctionPenaltyAdapter,org.apache.commons.math3.optim.nonlinear.scalar,21,0,0,9,0,30,70
436,MultivariateFunctionPenaltyAdapter,org.apache.commons.math3.optimization.direct,21,0,0,9,0,30,70
437,MultivariateNormalDistribution,org.apache.commons.math3.distribution,40,0,4,3,0,47,85.10638298
438,MultivariateNormalMixtureExpectationMaximization,org.apache.commons.math3.distribution.fitting,90,0,6,11,0,107,84.11214953
439,MultivariateOptimizer,org.apache.commons.math3.optim.nonlinear.scalar,7,0,0,0,0,7,100
440,MultivariateSummaryStatistics,org.apache.commons.math3.stat.descriptive,95,0,0,22,0,117,81.1965812
441,MultivariateVectorOptimizer,org.apache.commons.math3.optim.nonlinear.vector,11,0,0,0,1,12,100
442,NPointCrossover,org.apache.commons.math3.genetics,21,0,1,2,0,24,87.5
443,NakagamiDistribution,org.apache.commons.math3.distribution,26,0,0,17,1,44,61.36363636
444,NaturalRanking,org.apache.commons.math3.stat.ranking,66,0,1,4,0,71,92.95774648
445,NeighbourhoodSizeFunctionFactory,org.apache.commons.math3.ml.neuralnet.sofm,4,0,0,0,0,4,100
446,NelderMeadSimplex,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,62,0,0,5,0,67,92.53731343
447,NelderMeadSimplex,org.apache.commons.math3.optimization.direct,62,0,0,5,0,67,92.53731343
448,NestedLoops,org.apache.commons.math3.geometry.euclidean.twod,0,0,21,0,0,21,0
449,Network,org.apache.commons.math3.ml.neuralnet,38,0,1,6,0,45,84.44444444
450,Neuron,org.apache.commons.math3.ml.neuralnet,21,0,0,2,0,23,91.30434783
451,NeuronSquareMesh2D,org.apache.commons.math3.ml.neuralnet.twod,155,0,7,5,0,167,92.81437126
452,NeuronString,org.apache.commons.math3.ml.neuralnet.oned,40,0,2,3,0,45,88.88888889
453,NevilleInterpolator,org.apache.commons.math3.analysis.interpolation,1,0,0,0,0,1,100
454,NewtonRaphsonSolver,org.apache.commons.math3.analysis.solvers,6,0,0,1,0,7,85.71428571
455,NewtonSolver,org.apache.commons.math3.analysis.solvers,6,0,0,1,0,7,85.71428571
456,NoBracketingException,org.apache.commons.math3.exception,0,0,4,0,0,4,0
457,NodesSet,org.apache.commons.math3.geometry.partitioning,3,0,0,0,0,3,100
458,NonLinearConjugateGradientOptimizer,org.apache.commons.math3.optim.nonlinear.scalar.gradient,44,0,2,1,0,47,93.61702128
459,NonLinearConjugateGradientOptimizer,org.apache.commons.math3.optimization.general,54,0,3,5,1,63,87.3015873
460,NonMonotonicSequenceException,org.apache.commons.math3.exception,4,0,0,4,0,8,50
461,NonNegativeConstraint,org.apache.commons.math3.optim.linear,1,0,0,0,0,1,100
462,NonPositiveDefiniteMatrixException,org.apache.commons.math3.linear,0,0,3,2,0,5,0
463,NonSymmetricMatrixException,org.apache.commons.math3.linear,0,0,3,0,0,3,0
464,NordsieckStepInterpolator,org.apache.commons.math3.ode.sampling,46,0,3,3,13,65,90.76923077
465,NormalApproximationInterval,org.apache.commons.math3.stat.interval,13,0,0,0,0,13,100
466,NormalDistribution,org.apache.commons.math3.distribution,51,0,2,4,0,57,89.47368421
467,NumberIsTooLargeException,org.apache.commons.math3.exception,2,0,0,1,0,3,66.66666667
468,NumberIsTooSmallException,org.apache.commons.math3.exception,2,0,0,1,0,3,66.66666667
469,OLSMultipleLinearRegression,org.apache.commons.math3.stat.regression,40,0,0,0,0,40,100
470,ObjectiveFunction,org.apache.commons.math3.optim.nonlinear.scalar,1,0,0,0,0,1,100
471,ObjectiveFunctionGradient,org.apache.commons.math3.optim.nonlinear.scalar,1,0,0,0,0,1,100
472,OnePointCrossover,org.apache.commons.math3.genetics,13,0,0,0,0,13,100
473,OneWayAnova,org.apache.commons.math3.stat.inference,33,0,0,7,0,40,82.5
474,OpenIntToDoubleHashMap,org.apache.commons.math3.util,101,3,0,26,6,136,80.88235294
475,OpenIntToFieldHashMap,org.apache.commons.math3.util,100,0,1,28,8,137,78.83211679
476,OpenMapRealMatrix,org.apache.commons.math3.linear,53,0,9,7,1,70,77.14285714
477,OpenMapRealVector,org.apache.commons.math3.linear,175,0,19,26,0,220,79.54545455
478,OptimumImpl,org.apache.commons.math3.fitting.leastsquares,7,0,2,0,0,9,77.77777778
479,OrderedCrossover,org.apache.commons.math3.genetics,12,0,0,5,0,17,70.58823529
480,OrderedTuple,org.apache.commons.math3.geometry.partitioning.utilities,0,0,144,0,0,144,0
481,OrientedPoint,org.apache.commons.math3.geometry.euclidean.oned,11,0,5,0,0,16,68.75
482,OutOfRangeException,org.apache.commons.math3.exception,2,0,0,0,0,2,100
483,OutlineExtractor,org.apache.commons.math3.geometry.euclidean.threed,0,0,84,0,0,84,0
484,PSquarePercentile,org.apache.commons.math3.stat.descriptive.rank,163,0,0,22,0,185,88.10810811
485,Pair,org.apache.commons.math3.util,19,0,1,5,0,25,76
486,ParameterConfiguration,org.apache.commons.math3.ode,1,0,0,1,0,2,50
487,ParameterJacobianWrapper,org.apache.commons.math3.ode,12,0,2,0,0,14,85.71428571
488,ParameterizedWrapper,org.apache.commons.math3.ode,0,0,6,0,0,6,0
489,ParetoDistribution,org.apache.commons.math3.distribution,49,0,0,6,1,56,89.28571429
490,PascalDistribution,org.apache.commons.math3.distribution,42,0,1,1,0,44,95.45454545
491,PearsonsCorrelation,org.apache.commons.math3.stat.correlation,60,0,0,4,0,64,93.75
492,Percentile,org.apache.commons.math3.stat.descriptive.rank,156,0,4,25,0,185,84.32432432
493,PiecewiseBicubicSplineInterpolatingFunction,org.apache.commons.math3.analysis.interpolation,48,0,13,3,0,64,75
494,PiecewiseBicubicSplineInterpolator,org.apache.commons.math3.analysis.interpolation,8,0,0,2,0,10,80
495,Plane,org.apache.commons.math3.geometry.euclidean.threed,107,0,8,12,0,127,84.2519685
496,PointValuePair,org.apache.commons.math3.optim,6,0,0,1,0,7,85.71428571
497,PointValuePair,org.apache.commons.math3.optimization,6,0,0,1,0,7,85.71428571
498,PointVectorValuePair,org.apache.commons.math3.optim,10,0,0,2,0,12,83.33333333
499,PointVectorValuePair,org.apache.commons.math3.optimization,10,0,0,2,0,12,83.33333333
500,PoissonDistribution,org.apache.commons.math3.distribution,99,0,3,32,2,136,74.26470588
501,PollardRho,org.apache.commons.math3.primes,0,0,43,0,0,43,0
502,PolygonsSet,org.apache.commons.math3.geometry.euclidean.twod,138,0,31,52,6,227,63.43612335
503,PolyhedronsSet,org.apache.commons.math3.geometry.euclidean.threed,99,0,8,27,0,134,73.88059701
504,PolynomialCurveFitter,org.apache.commons.math3.fitting,6,0,1,0,0,7,85.71428571
505,PolynomialFitter,org.apache.commons.math3.fitting,1,0,1,0,0,2,50
506,PolynomialFitter,org.apache.commons.math3.optimization.fitting,1,0,3,0,0,4,25
507,PolynomialFunction,org.apache.commons.math3.analysis.polynomials,87,0,23,11,0,121,71.90082645
508,PolynomialFunctionLagrangeForm,org.apache.commons.math3.analysis.polynomials,83,0,10,6,0,99,83.83838384
509,PolynomialFunctionNewtonForm,org.apache.commons.math3.analysis.polynomials,41,0,4,6,0,51,80.39215686
510,PolynomialSplineFunction,org.apache.commons.math3.analysis.polynomials,43,0,12,0,0,55,78.18181818
511,PolynomialsUtils,org.apache.commons.math3.analysis.polynomials,95,0,1,10,0,106,89.62264151
512,Pow,org.apache.commons.math3.analysis.function,1,0,0,0,0,1,100
513,PowellOptimizer,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,34,0,0,30,0,64,53.125
514,PowellOptimizer,org.apache.commons.math3.optimization.direct,38,0,0,31,0,69,55.07246377
515,Power,org.apache.commons.math3.analysis.function,2,0,1,0,0,3,66.66666667
516,Precision,org.apache.commons.math3.util,116,0,19,17,0,152,76.31578947
517,PreconditionedIterativeLinearSolver,org.apache.commons.math3.linear,8,0,2,4,0,14,57.14285714
518,Primes,org.apache.commons.math3.primes,31,0,0,1,0,32,96.875
519,Product,org.apache.commons.math3.stat.descriptive.summary,21,0,1,3,0,25,84
520,ProperBigFractionFormat,org.apache.commons.math3.fraction,26,0,6,8,0,40,65
521,ProperFractionFormat,org.apache.commons.math3.fraction,26,0,6,7,0,39,66.66666667
522,PropertiesComputer,org.apache.commons.math3.geometry.spherical.twod,20,0,2,3,0,25,80
523,QRDecomposition,org.apache.commons.math3.linear,170,0,0,4,0,174,97.70114943
524,QuantizationError,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,11,0,0,11,0
525,QuasiSigmoidDecayFunction,org.apache.commons.math3.ml.neuralnet.sofm.util,10,0,0,1,0,11,90.90909091
526,Quaternion,org.apache.commons.math3.complex,121,0,4,7,0,132,91.66666667
527,RRQRDecomposition,org.apache.commons.math3.linear,24,0,0,12,0,36,66.66666667
528,RandomAdaptor,org.apache.commons.math3.random,9,0,4,2,0,15,60
529,RandomDataGenerator,org.apache.commons.math3.random,78,0,23,26,9,136,63.97058824
530,RandomDataImpl,org.apache.commons.math3.random,0,0,31,1,0,32,0
531,RandomGeneratorFactory,org.apache.commons.math3.random,10,0,4,2,1,17,64.70588235
532,RandomKey,org.apache.commons.math3.genetics,38,0,2,1,3,44,93.18181818
533,RandomKeyMutation,org.apache.commons.math3.genetics,2,0,0,0,0,2,100
534,RandomPivotingStrategy,org.apache.commons.math3.util,0,0,5,0,0,5,0
535,RealLinearOperator,org.apache.commons.math3.linear,0,0,1,0,0,1,0
536,RealMatrixFormat,org.apache.commons.math3.linear,44,0,11,5,0,60,73.33333333
537,RealVector,org.apache.commons.math3.linear,201,0,2,30,1,234,86.32478632
538,RealVectorFormat,org.apache.commons.math3.linear,28,0,4,2,1,35,82.85714286
539,RectangularCholeskyDecomposition,org.apache.commons.math3.linear,46,0,0,2,0,48,95.83333333
540,RegionFactory,org.apache.commons.math3.geometry.partitioning,43,0,5,13,0,61,70.49180328
541,RegressionResults,org.apache.commons.math3.stat.regression,65,0,24,15,0,104,62.5
542,Relationship,org.apache.commons.math3.optim.linear,2,0,1,1,0,4,50
543,Relationship,org.apache.commons.math3.optimization.linear,2,0,1,1,0,4,50
544,ResizableDoubleArray,org.apache.commons.math3.util,111,0,6,32,0,149,74.4966443
545,RiddersSolver,org.apache.commons.math3.analysis.solvers,21,0,4,8,0,33,63.63636364
546,Rint,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0
547,RombergIntegrator,org.apache.commons.math3.analysis.integration,21,0,2,6,0,29,72.4137931
548,RootsOfUnity,org.apache.commons.math3.complex,30,0,2,5,0,37,81.08108108
549,Rotation,org.apache.commons.math3.geometry.euclidean.threed,641,0,0,85,0,726,88.29201102
550,RotationOrder,org.apache.commons.math3.geometry.euclidean.threed,4,0,0,0,0,4,100
551,RungeKuttaFieldIntegrator,org.apache.commons.math3.ode.nonstiff,53,0,1,8,6,68,86.76470588
552,RungeKuttaFieldStepInterpolator,org.apache.commons.math3.ode.nonstiff,12,0,0,0,0,12,100
553,RungeKuttaIntegrator,org.apache.commons.math3.ode.nonstiff,93,0,1,11,5,110,89.09090909
554,RungeKuttaStepInterpolator,org.apache.commons.math3.ode.nonstiff,33,0,0,5,0,38,86.84210526
555,S1Point,org.apache.commons.math3.geometry.spherical.oned,14,0,1,4,0,19,73.68421053
556,S2Point,org.apache.commons.math3.geometry.spherical.twod,26,0,1,9,0,36,72.22222222
557,SaddlePointExpansion,org.apache.commons.math3.distribution,51,0,6,14,5,76,73.68421053
558,SchurTransformer,org.apache.commons.math3.linear,245,0,0,38,2,285,86.66666667
559,SearchInterval,org.apache.commons.math3.optim.univariate,9,0,0,2,0,11,81.81818182
560,SecantSolver,org.apache.commons.math3.analysis.solvers,16,0,1,3,0,20,80
561,SecondMoment,org.apache.commons.math3.stat.descriptive.moment,12,0,0,2,0,14,85.71428571
562,Segment,org.apache.commons.math3.geometry.euclidean.threed,3,0,0,0,0,3,100
563,Segment,org.apache.commons.math3.geometry.euclidean.twod,21,0,1,2,0,24,87.5
564,SemiVariance,org.apache.commons.math3.stat.descriptive.moment,21,0,10,1,0,32,65.625
565,Sigmoid,org.apache.commons.math3.analysis.function,46,0,1,1,0,48,95.83333333
566,Signum,org.apache.commons.math3.analysis.function,0,0,0,1,0,1,0
567,SimpleBounds,org.apache.commons.math3.optim,5,0,0,0,0,5,100
568,SimpleBounds,org.apache.commons.math3.optimization,2,0,0,0,0,2,100
569,SimpleCurveFitter,org.apache.commons.math3.fitting,3,0,2,0,0,5,60
570,SimplePointChecker,org.apache.commons.math3.optim,14,0,0,2,0,16,87.5
571,SimplePointChecker,org.apache.commons.math3.optimization,14,0,0,2,0,16,87.5
572,SimpleRegression,org.apache.commons.math3.stat.regression,218,0,48,23,0,289,75.43252595
573,SimpleUnivariateValueChecker,org.apache.commons.math3.optim.univariate,12,0,0,2,0,14,85.71428571
574,SimpleUnivariateValueChecker,org.apache.commons.math3.optimization.univariate,12,0,0,2,0,14,85.71428571
575,SimpleValueChecker,org.apache.commons.math3.optim,12,0,0,2,0,14,85.71428571
576,SimpleValueChecker,org.apache.commons.math3.optimization,12,0,0,2,0,14,85.71428571
577,SimpleVectorValueChecker,org.apache.commons.math3.optim,14,0,0,2,0,16,87.5
578,SimpleVectorValueChecker,org.apache.commons.math3.optimization,14,0,0,2,0,16,87.5
579,SimplexOptimizer,org.apache.commons.math3.optim.nonlinear.scalar.noderiv,24,0,0,0,0,24,100
580,SimplexOptimizer,org.apache.commons.math3.optimization.direct,21,0,0,1,0,22,95.45454545
581,SimplexSolver,org.apache.commons.math3.optim.linear,46,0,1,14,7,68,77.94117647
582,SimplexSolver,org.apache.commons.math3.optimization.linear,42,0,0,15,3,60,75
583,SimplexTableau,org.apache.commons.math3.optim.linear,174,0,13,11,2,200,88
584,SimplexTableau,org.apache.commons.math3.optimization.linear,159,0,13,12,2,186,86.55913978
585,SimpsonIntegrator,org.apache.commons.math3.analysis.integration,13,0,6,5,0,24,54.16666667
586,Sin,org.apache.commons.math3.analysis.function,3,0,0,0,0,3,100
587,Sinc,org.apache.commons.math3.analysis.function,75,0,1,21,0,97,77.31958763
588,SingularValueDecomposition,org.apache.commons.math3.linear,367,0,2,66,11,446,84.75336323
589,Sinh,org.apache.commons.math3.analysis.function,0,0,2,1,0,3,0
590,Skewness,org.apache.commons.math3.stat.descriptive.moment,48,0,1,10,0,59,81.3559322
591,SmallPrimes,org.apache.commons.math3.primes,28,0,2,13,2,45,66.66666667
592,SmoothedDataHistogram,org.apache.commons.math3.ml.neuralnet.twod.util,0,0,16,0,0,16,0
